epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,2082.41,0.41981,0.46582,0.18832,0.00724,0.20437,0.97096,0.99076,0.99397,0.89183,0.96371,0.98349,0.9922,0.86148,0.44649,0.87294,0.20416,0.01491,0,0.00139364,0.00139364,0.00139364
58,2120,0.42907,0.46514,0.21192,0.00785,0.22893,1,0.99172,0.995,0.94545,0.99889,1,0.995,0.95608,0.31588,0.32753,0.10933,0.01094,0,0.00137444,0.00137444,0.00137444
59,2157.73,0.42231,0.43682,0.19599,0.00753,0.19439,1,0.99924,0.995,0.92649,1,0.99924,0.995,0.97043,0.3621,0.28086,0.114,0.01289,0,0.00135509,0.00135509,0.00135509
60,2196,0.43775,0.45843,0.20436,0.00804,0.22606,0.98538,0.99881,0.99485,0.90936,0.98538,0.99881,0.99485,0.96076,0.441,0.27291,0.19918,0.01522,0,0.00133558,0.00133558,0.00133558
61,2232.86,0.4226,0.44407,0.19594,0.0076,0.20579,0.98992,0.99259,0.99441,0.92464,0.98992,0.99259,0.99441,0.96061,0.39802,0.31633,0.13909,0.01273,0,0.00131593,0.00131593,0.00131593
62,2271.24,0.41077,0.42293,0.18118,0.00789,0.19845,0.99929,1,0.995,0.88273,0.99929,1,0.995,0.95125,0.51919,0.32509,0.16059,0.01739,0,0.00129614,0.00129614,0.00129614
63,2307.93,0.3807,0.42735,0.17258,0.00682,0.19656,0.9992,1,0.995,0.95894,0.9992,1,0.995,0.95902,0.30289,0.322,0.09796,0.00967,0,0.00127623,0.00127623,0.00127623
64,2346.96,0.38725,0.42751,0.1713,0.00736,0.20029,0.99873,0.97778,0.99478,0.97464,0.99873,0.97778,0.99478,0.95663,0.23448,0.34372,0.09691,0.00751,0,0.0012562,0.0012562,0.0012562
65,2383.61,0.38274,0.39789,0.17946,0.00708,0.19682,0.9959,0.99259,0.995,0.93648,0.9959,0.99259,0.995,0.94301,0.32567,0.42698,0.41164,0.0111,0,0.00123607,0.00123607,0.00123607
66,2422,0.38127,0.4293,0.17682,0.00695,0.20779,0.99833,0.98519,0.99485,0.94014,0.99833,0.98519,0.99485,0.95552,0.34604,0.28232,0.12868,0.01128,0,0.00121583,0.00121583,0.00121583
67,2459.21,0.38319,0.43827,0.18483,0.00652,0.20336,0.9982,0.99259,0.995,0.93607,0.9982,0.99259,0.995,0.94202,0.31824,0.36725,0.12547,0.01065,0,0.00119551,0.00119551,0.00119551
68,2496.53,0.37988,0.41851,0.17937,0.00687,0.19568,0.99728,0.98519,0.99485,0.9256,0.98978,0.97778,0.99351,0.94107,0.33625,0.36943,0.14466,0.01123,0,0.0011751,0.0011751,0.0011751
69,2535.39,0.40195,0.42858,0.19035,0.00727,0.20758,0.9983,1,0.995,0.95895,0.9983,1,0.995,0.96723,0.27843,0.28684,0.10701,0.00975,0,0.00115462,0.00115462,0.00115462
70,2575.22,0.34019,0.41064,0.16243,0.00604,0.19859,1,0.99879,0.995,0.96499,1,0.99879,0.995,0.95477,0.23205,0.32202,0.08744,0.00765,0,0.00113408,0.00113408,0.00113408
71,2614.35,0.37392,0.4148,0.16342,0.0066,0.19762,0.99897,0.99259,0.995,0.95885,0.99897,0.99259,0.995,0.96329,0.28253,0.32152,0.0937,0.00944,0,0.00111348,0.00111348,0.00111348
72,2655.03,0.37168,0.41346,0.16585,0.00682,0.18673,1,0.99109,0.995,0.94728,1,0.99109,0.995,0.9528,0.29581,0.31765,0.1043,0.00994,0,0.00109284,0.00109284,0.00109284
73,2693.42,0.37131,0.41786,0.17552,0.00655,0.19264,0.99943,1,0.995,0.95444,0.99943,1,0.995,0.959,0.29451,0.30707,0.0924,0.00948,0,0.00107216,0.00107216,0.00107216
74,2732.64,0.36264,0.39716,0.15972,0.00656,0.18436,0.99923,0.99259,0.995,0.92311,0.99923,0.99259,0.995,0.92512,0.34729,0.4304,0.11524,0.01192,0,0.00105146,0.00105146,0.00105146
75,2770.57,0.35329,0.39382,0.1775,0.00627,0.20623,0.99836,0.97778,0.99471,0.96852,0.99836,0.97778,0.99471,0.95522,0.23195,0.28701,0.12207,0.00749,0,0.00103073,0.00103073,0.00103073
76,2809.72,0.35121,0.40324,0.16608,0.00624,0.22562,0.98539,0.99939,0.99471,0.96553,0.98539,0.99939,0.99471,0.95779,0.2391,0.31284,0.10285,0.00829,0,0.00101,0.00101,0.00101
77,2847.22,0.34585,0.39778,0.16885,0.00604,0.19378,0.99871,1,0.995,0.96989,0.99871,1,0.995,0.9604,0.21399,0.28487,0.07483,0.00689,0,0.000989267,0.000989267,0.000989267
78,2887.79,0.36434,0.40697,0.16345,0.00656,0.18102,0.98495,1,0.99463,0.96565,0.98495,1,0.99463,0.96139,0.25234,0.27829,0.09815,0.00821,0,0.000968543,0.000968543,0.000968543
79,2925.94,0.36448,0.39893,0.15749,0.00638,0.19282,0.99258,0.9906,0.99485,0.94855,0.99258,0.9906,0.99485,0.94845,0.30247,0.3572,0.1106,0.01034,0,0.000947837,0.000947837,0.000947837
80,2965.51,0.34596,0.38441,0.15329,0.00607,0.17261,0.99984,1,0.995,0.96381,0.99984,1,0.995,0.9587,0.24188,0.30153,0.08614,0.00763,0,0.000927159,0.000927159,0.000927159
81,3003.46,0.35735,0.42363,0.16708,0.00647,0.19642,0.99422,1,0.995,0.97285,0.99422,1,0.995,0.96852,0.20595,0.27038,0.07568,0.00687,0,0.000906517,0.000906517,0.000906517
